\begin{tabular}{lllllll}
\toprule
        Model & Num Runs & Flight Time [s] & Travel Distance [m] & Mean Error [m] & Gates Passed & \% Collision \\
\midrule
     ref+rvw  &     540  &      5.5 (3.36) &       59.43 (34.76) &    2.56 (2.15) &  3.77 (2.41) &       93.0  \\
 ref+rvw+fts  &     540  &     6.55 (4.75) &       69.94 (49.17) &    2.82 (2.14) &   4.39 (3.5) &       71.0  \\
 ref+rvw+ain  &     540  &     6.81 (3.82) &        77.82 (46.0) &   5.99 (11.66) &   3.53 (2.5) &       83.0  \\
 ref+rvw+abr  &     540  &     7.27 (4.25) &       79.81 (46.83) &    3.75 (2.48) &  4.44 (3.15) &       71.0  \\
         ref  &       0  &             NaN &                 NaN &            NaN &          NaN &         NaN \\
     ref+fts  &       0  &             NaN &                 NaN &            NaN &          NaN &         NaN \\
     ref+ain  &       0  &             NaN &                 NaN &            NaN &          NaN &         NaN \\
     ref+abr  &       0  &             NaN &                 NaN &            NaN &          NaN &         NaN \\
         rvw  &       0  &             NaN &                 NaN &            NaN &          NaN &         NaN \\
     rvw+fts  &       0  &             NaN &                 NaN &            NaN &          NaN &         NaN \\
     rvw+ain  &       0  &             NaN &                 NaN &            NaN &          NaN &         NaN \\
     rvw+abr  &       0  &             NaN &                 NaN &            NaN &          NaN &         NaN \\
\bottomrule
\end{tabular}
